"","Pverr_006","Pverr_007","Pverr_008","Pverr_009","Pverr_106","Pverr_108","Pverr_110","Pverr_112"
"Pver_gene_g13788",0,0,0,0,104,15,37,29
"Pver_gene_g13789",0,0,0,0,75,80,80,58
"Pver_gene_g15951",251,313,335,177,88,72,90,67
"Pver_gene_g25740",0,0,0,0,76,17,13,136
"Pver_gene_g7159",1805,1388,1555,855,727,130,347,471
"Pver_gene_g7152",386,435,518,400,58,0,48,51
"Pver_gene_g7150",86,179,211,108,71,21,44,48
"Pver_gene_g7155",89,131,73,53,420,95,200,306
"Pver_gene_g9644",889,1117,1322,807,331,112,256,298
"Pver_gene_g9646",35,45,38,31,322,30,77,140
"Pver_gene_g9641",726,1109,1115,1185,832,199,237,785
"Pver_gene_g1415",0,0,0,0,87,32,33,145
"Pver_gene_g999",38,71,90,57,236,92,94,378
"Pver_gene_g994",0,0,0,0,30,20,38,100
"Pver_gene_g992",219,281,291,132,153,53,107,165
"Pver_gene_g14648_gene_g14650",0,0,0,0,12,12,20,19
"Pver_gene_g8270",173,236,269,189,132,44,82,72
"Pver_gene_g26469",0,0,0,0,123,52,32,127
"Pver_gene_g26468",131,125,154,73,78,18,67,77
"Pver_novel_gene_440_5de57afd",0,0,0,0,22,15,20,38
"Pver_gene_g8898",0,44,49,19,350,44,91,323
"Pver_gene_g7976",176,158,208,114,80,16,16,41
"Pver_gene_g7973",579,522,818,425,133,0,96,163
"Pver_gene_g7972",26,93,193,122,242,142,556,169
"Pver_gene_g16173",61,152,153,96,39,27,33,40
"Pver_gene_g2805",0,13,0,14,109,20,32,70
"Pver_gene_g2802",15,20,55,20,215,46,103,148
"Pver_gene_g2803",0,9,9,5,40,44,43,55
"Pver_gene_g25886",29,21,30,73,0,0,0,0
"Pver_gene_g25888",180,170,244,135,0,10,14,47
"Pver_gene_g25889",321,349,361,247,119,18,81,190
"Pver_gene_g19318",0,0,10,7,29,17,41,53
"Pver_gene_g10439",25,0,0,0,161,48,77,113
"Pver_gene_g1758",43,49,47,62,27,7,10,47
"Pver_gene_g1756",197,224,198,204,37,7,20,30
"Pver_gene_g1755",242,270,263,215,40,23,95,70
"Pver_gene_g16991",0,15,11,5,48,12,21,90
"Pver_gene_g16997",0,0,0,0,110,22,70,77
"Pver_gene_g26144",0,0,0,0,160,123,149,219
"Pver_gene_g26148",62,99,115,61,388,45,97,318
"Pver_gene_g26149",0,14,24,15,90,28,37,142
"Pver_gene_g977",233,423,232,240,27,0,34,15
"Pver_gene_g15408",471,631,814,632,476,115,286,436
"Pver_gene_g13869",895,734,977,920,80,4,80,85
"Pver_gene_g13868",0,0,0,0,84,13,69,42
"Pver_gene_g13862",0,0,10,0,25,11,21,20
"Pver_gene_g2478",39,26,34,22,66,62,94,33
"Pver_gene_g2470",0,39,28,19,102,80,152,88
"Pver_gene_g16640",0,0,0,0,31,21,30,38
"Pver_gene_g15085",15,0,0,0,82,22,88,168
"Pver_gene_g12730",0,0,0,0,61,25,31,53
"Pver_gene_g12732",27,36,34,37,1204,383,591,1096
"Pver_gene_g12733",280,455,499,346,276,139,259,298
"Pver_gene_g12734",0,15,16,0,127,36,61,182
"Pver_gene_g12736",0,0,0,0,45,22,42,73
"Pver_gene_g12739",0,6,36,13,141,16,27,154
"Pver_gene_g11421",18,10,27,23,35,137,86,206
"Pver_gene_g11423",0,0,0,0,33,83,32,58
"Pver_gene_g201",135,172,100,118,92,25,18,112
"Pver_gene_g203",0,0,0,0,49,18,25,52
"Pver_gene_g208",345,588,561,456,407,112,228,373
"Pver_gene_g10770",138,244,230,125,463,134,214,525
"Pver_gene_g10778",0,33,42,7,636,244,323,627
"Pver_gene_g14066",656,571,764,466,91,13,56,118
"Pver_gene_g14067",0,16,13,0,87,8,83,57
"Pver_gene_g14065",0,0,0,0,64,11,20,74
"Pver_gene_g15851",0,0,0,0,62,35,27,52
"Pver_gene_g15854",447,842,1081,633,477,189,255,552
"Pver_gene_g15856",182,125,89,91,0,0,0,0
"Pver_gene_g15859",418,535,523,362,331,37,289,254
"Pver_gene_g3893",218,324,214,264,28,22,15,27
"Pver_gene_g6160",99,120,138,79,54,6,61,48
"Pver_gene_g6162",26,16,55,35,0,0,0,0
"Pver_gene_g8413",128,127,135,100,39,12,44,25
"Pver_gene_g1599",7,27,21,0,52,42,62,76
"Pver_gene_g1597",0,0,0,0,121,46,110,358
"Pver_gene_g1592",202,160,155,120,87,19,51,24
"Pver_gene_g7348",0,11,0,0,45,11,88,24
"Pver_gene_g7343",0,17,0,0,401,51,76,252
"Pver_gene_g7341",0,0,0,0,22,20,54,22
"Pver_gene_g7346",114,85,174,124,114,18,33,97
"Pver_gene_g12356",153,132,186,128,47,0,29,46
"Pver_gene_g26042",0,0,0,0,692,967,573,677
"Pver_gene_g26045",0,0,0,0,31,20,23,89
"Pver_gene_g6901",427,414,550,372,317,59,168,225
"Pver_gene_g6907",101,86,48,62,266,109,177,331
"Pver_gene_g6908",0,7,0,0,77,47,37,76
"Pver_gene_g5454",0,0,0,0,98,22,49,83
"Pver_gene_g5456",0,0,0,0,94,31,78,107
"Pver_gene_g5457",0,0,0,0,27,16,46,18
"Pver_gene_g14942",0,13,37,0,200,59,104,208
"Pver_gene_g17106",5460,4881,5476,3772,0,0,0,0
"Pver_gene_g3851",502,493,659,430,231,11,56,87
"Pver_gene_g3855",396,512,710,327,118,31,83,51
"Pver_gene_g3858",0,0,0,0,107,18,52,148
"Pver_gene_g3859",0,0,0,0,511,116,175,318
"Pver_gene_g2107",180,225,278,208,42,9,61,28
"Pver_gene_g2108",444,576,703,414,5549,1187,2260,5513
"Pver_gene_g25929",147,331,278,209,1328,406,724,1191
"Pver_gene_g25928",213,153,196,134,1165,223,389,917
"Pver_gene_g25927",134,243,229,169,493,235,350,471
"Pver_gene_g25925",0,0,6,0,1361,236,295,1843
"Pver_gene_g11627",74,49,67,26,103,58,90,164
"Pver_gene_g11626",0,9,0,0,20,17,44,25
"Pver_gene_g11624",0,0,135,13,11220,3069,3663,12465
"Pver_gene_g11623",225,292,322,162,92,44,57,146
"Pver_gene_g9592",121,175,207,153,65,20,43,78
"Pver_gene_g11198",0,26,8,0,186,24,119,217
"Pver_gene_g11195",64,86,152,62,13,8,4,16
"Pver_gene_g11194",55,80,186,111,878,176,184,861
"Pver_gene_g11197",0,0,0,0,77,46,71,111
"Pver_gene_g10579",0,26,0,15,487,146,346,562
"Pver_gene_g10570",31,22,14,16,0,0,0,0
"Pver_gene_g10573",142,173,161,87,304,95,228,264
"Pver_gene_g19296",439,602,1010,635,301,136,112,350
"Pver_gene_g14478",0,0,11,0,24,13,40,66
"Pver_gene_g14474",907,847,1082,609,499,68,239,337
"Pver_gene_g14477",39,59,66,59,18,0,19,34
"Pver_gene_g4197",0,0,0,0,67,19,38,77
"Pver_gene_g4195",26,16,0,27,227,26,132,199
"Pver_gene_g4192",39,53,47,33,18,0,0,0
"Pver_gene_g4191",9,34,49,25,310,141,358,376
"Pver_gene_g4198",0,73,130,61,329,156,233,481
"Pver_gene_g4440",129,157,193,112,98,0,46,40
"Pver_gene_g13128",0,0,0,0,96,21,44,57
"Pver_gene_g5718",0,0,32,0,582,271,257,222
"Pver_gene_g5715",12,26,29,18,0,0,0,0
"Pver_gene_g5712",231,169,246,133,84,32,83,90
"Pver_gene_g5710",269,298,437,311,124,85,70,145
"Pver_novel_gene_700_5de57afd",0,0,0,0,214,123,60,211
"Pver_gene_g15275",851,843,975,572,165,50,105,206
"Pver_gene_g15277",66,56,48,64,39,7,0,14
"Pver_gene_g16322",0,0,0,0,83,11,31,29
"Pver_gene_g16320",358,305,440,216,240,77,84,159
"Pver_gene_g8991",0,0,0,0,53,89,33,63
"Pver_gene_g2247",308,400,363,175,1224,627,453,1199
"Pver_gene_g467",21,33,37,20,63,17,59,52
"Pver_gene_g6735",0,7,0,14,195,40,100,74
"Pver_gene_g6738",109,114,112,84,72,24,39,66
"Pver_gene_g3527",97,185,346,108,85,27,114,72
"Pver_gene_g7061",33,48,37,20,75,18,64,80
"Pver_gene_g7060",30,51,36,45,88,28,58,116
"Pver_gene_g22909",71,35,50,41,216,64,84,229
"Pver_gene_g8602",0,0,0,0,52,15,27,33
"Pver_gene_g22903",0,0,0,0,205,100,121,231
"Pver_gene_g22904",0,0,9,0,38,33,42,66
"Pver_gene_g1968",88,89,100,61,443,140,197,417
"Pver_gene_g1966",0,11,0,0,329,67,102,328
"Pver_gene_g25672",0,25,29,0,171,23,59,187
"Pver_gene_g25671",0,0,0,0,47,17,48,64
"Pver_gene_g1389",0,0,0,0,42,19,37,50
"Pver_gene_g1387",0,0,0,0,45,13,99,118
"Pver_gene_g16890",349,597,584,405,189,97,223,209
"Pver_gene_g16893",48,45,30,0,294,43,69,181
"Pver_gene_g1032",448,710,1244,839,199,72,155,293
"Pver_gene_g1031",86,109,120,26,1371,650,1200,1344
"Pver_gene_g1038",21,49,24,42,149,66,102,281
"Pver_gene_g4609",37,34,62,39,124,30,148,144
"Pver_gene_g4607",0,0,0,6,20,51,36,40
"Pver_gene_g4605",78,54,60,66,28,0,16,15
"Pver_gene_g26377",0,0,0,0,957,257,480,1350
"Pver_gene_g26376",0,0,0,0,175,46,128,390
"Pver_gene_g2600",299,448,571,421,158,13,83,230
"Pver_gene_g2603",101,103,109,75,17,25,35,91
"Pver_gene_g2605",182,170,243,165,396,141,288,493
"Pver_gene_g26596",85,132,116,150,46,13,56,62
"Pver_gene_g8386",191,242,225,185,467,166,220,374
"Pver_gene_g8384",0,0,0,0,586,104,176,576
"Pver_gene_g8382",52,80,105,90,70,24,33,73
"Pver_gene_g8381",0,16,35,0,339,93,212,344
"Pver_gene_g10949",0,0,0,0,30,40,13,13
"Pver_gene_g10948",0,54,0,0,437,142,271,537
"Pver_gene_g10945",36,42,40,29,15,7,4,24
"Pver_gene_g14259",28,29,38,48,1325,242,443,1066
"Pver_gene_g14255",0,0,0,0,23,33,53,37
"Pver_gene_g26421",12,14,0,8,77,34,23,66
"Pver_gene_g11010",0,0,14,0,114,51,130,80
"Pver_gene_g8237",0,0,0,0,297,446,197,343
"Pver_gene_g13707",0,0,7,0,120,106,55,57
"Pver_gene_g5602",0,8,26,10,132,29,88,76
"Pver_gene_g15669",94,72,144,70,23,0,47,18
"Pver_gene_g10052",41,49,84,109,210,147,123,157
"Pver_gene_g10051",0,17,24,14,126,42,64,165
"Pver_gene_g26765",0,9,0,0,37,15,58,13
"Pver_novel_gene_266_5de57afd",41,35,44,0,127,112,130,204
"Pver_gene_g13087",0,0,0,0,342,123,73,320
"Pver_gene_g11831",129,90,106,85,19,0,24,27
"Pver_gene_g12021",0,0,13,0,46,14,49,77
"Pver_gene_g12027",0,0,0,0,135,24,112,240
"Pver_gene_g12028",115,217,345,207,160,25,68,133
"Pver_gene_g12029",80,114,181,61,605,281,400,763
"Pver_gene_g919",38,0,15,0,1135,367,379,791
"Pver_gene_g5824",0,0,0,0,52,16,23,62
"Pver_gene_g5826",197,166,227,110,145,41,85,46
"Pver_gene_g5823",89,78,67,75,52,17,6,58
"Pver_gene_g5829",99,23,59,33,11,0,0,13
"Pver_gene_g5828",0,12,0,0,89,16,55,26
"Pver_gene_g9858",188,188,187,171,82,28,28,110
"Pver_gene_g3402",740,757,1072,929,2737,453,996,2538
"Pver_gene_g4543",0,0,0,0,416,161,293,784
"Pver_gene_g26210",116,205,249,153,300,121,302,471
"Pver_gene_g4547",53,91,148,91,17,20,29,41
"Pver_gene_g3283",0,0,0,0,89,27,75,205
"Pver_gene_g3287",315,427,689,374,0,0,0,0
"Pver_gene_g3286",0,13,0,0,54,30,37,64
"Pver_gene_g3285",0,0,0,12,95,25,37,24
"Pver_gene_g3289",111,121,197,96,0,0,0,0
"Pver_gene_g3288",98,156,213,75,0,0,0,0
"Pver_gene_g2886",200,124,115,92,673,247,421,731
"Pver_gene_g2885",74,161,164,94,243,77,152,250
"Pver_gene_g2882",44,48,30,52,109,40,187,138
"Pver_gene_g2883",531,406,504,308,105,103,232,141
"Pver_gene_g2880",50,57,101,61,178,45,175,128
"Pver_gene_g3758",15,18,14,0,185,49,115,244
"Pver_gene_g3757",0,0,0,0,242,48,106,164
"Pver_gene_g3751",152,163,266,161,70,25,47,174
"Pver_gene_g7459",0,0,0,0,156,26,108,94
"Pver_gene_g7452",141,112,135,105,90,22,46,114
"Pver_gene_g8039",48,41,52,26,0,0,0,0
"Pver_gene_g8030",149,216,212,168,821,278,326,945
"Pver_gene_g20987",28,49,42,31,17,0,0,12
"Pver_gene_g25882",63,43,45,55,879,158,335,903
"Pver_gene_g23391",0,0,0,0,29,13,28,40
"Pver_gene_g23394",0,0,0,0,20,12,20,37
"Pver_gene_g4835",0,0,0,0,566,259,559,1019
"Pver_gene_g11939",78,67,92,62,209,87,127,205
"Pver_gene_g15001",0,9,21,0,30,35,28,65
"Pver_gene_g15000",0,22,13,12,54,53,66,96
"Pver_gene_g18877",0,0,0,0,100,27,50,85
"Pver_gene_g17690",0,0,0,0,59,27,56,106
"Pver_gene_g19581",0,0,0,0,11,35,31,15
"Pver_gene_g14352",110,100,80,82,162,91,131,196
"Pver_gene_g14355",43,29,0,7,359,68,228,640
"Pver_gene_g14356",106,136,136,107,51,0,29,82
"Pver_gene_g11203",0,33,36,0,293,99,206,349
"Pver_gene_g15580",85,129,221,102,284,93,188,308
"Pver_gene_g13516",0,0,0,0,110,43,70,74
"Pver_gene_g13513",65,54,65,64,50,10,30,9
"Pver_gene_g3135",208,296,215,146,188,40,148,140
"Pver_gene_g6320",166,121,103,45,26,6,67,30
"Pver_gene_g7610",0,50,36,31,294,71,48,270
"Pver_gene_g7611",0,0,0,0,62,19,105,52
"Pver_gene_g7615",0,0,0,0,106,25,22,160
"Pver_gene_g9727",70,74,53,45,42,0,7,28
"Pver_gene_g1515",0,0,0,0,40,11,42,26
"Pver_gene_g1514",73,147,201,87,63,16,89,57
"Pver_gene_g898",0,0,9,0,360,108,175,293
"Pver_gene_g890",0,0,0,0,57,13,30,114
"Pver_gene_g894",0,0,0,0,29,33,46,39
"Pver_gene_g6982",0,40,91,52,986,380,438,1331
"Pver_gene_g765",0,21,11,0,139,12,32,55
"Pver_gene_g768",11,13,16,0,130,35,62,125
"Pver_gene_g5984",196,177,213,157,102,29,43,66
"Pver_gene_g5985",0,0,68,25,5809,1138,2011,5821
"Pver_novel_gene_332_5de57afd",0,0,0,0,21,20,15,67
"Pver_gene_g9267",0,0,0,0,2005,1486,2528,2295
"Pver_gene_g9264",0,0,0,0,207,56,49,177
"Pver_gene_g9262",98,115,114,104,15,4,34,31
"Pver_gene_g9269",0,22,0,0,159,25,36,99
"Pver_gene_g9268",1037,740,955,691,164,42,65,173
"Pver_gene_g16630",383,420,405,286,741,285,548,769
"Pver_gene_g16633",381,554,617,474,3302,547,1513,3335
"Pver_gene_g21049",0,0,0,0,108,15,28,40
"Pver_gene_g6202",0,0,0,0,48,15,17,56
"Pver_gene_g6204",1052,874,955,659,626,91,434,673
"Pver_gene_g6206",41,85,82,39,22,0,13,0
"Pver_gene_g6207",287,313,390,260,164,90,138,147
"Pver_gene_g6208",10,14,0,2,36,35,48,73
"Pver_gene_g19218",0,0,0,0,690,222,239,719
"Pver_gene_g19213",99,54,108,104,57,13,36,54
"Pver_gene_g7550",0,0,0,0,113,15,26,112
"Pver_gene_g1893",63,39,59,49,0,8,15,11
"Pver_gene_g4118",0,0,0,0,56,90,118,59
"Pver_gene_g4114",0,5,0,0,49,15,14,67
"Pver_gene_g14968",0,0,0,0,72,12,17,54
"Pver_gene_g17305",0,0,0,0,13,15,52,19
"Pver_gene_g5792",245,319,391,278,306,49,127,196
"Pver_gene_g18932",191,115,92,102,0,0,22,8
"Pver_gene_g2223",0,0,0,0,54,28,35,32
"Pver_gene_g2221",306,358,389,287,237,79,116,258
"Pver_gene_g2229",6,40,35,32,611,131,226,590
"Pver_gene_g12471",467,735,642,477,351,80,221,499
"Pver_gene_g561",36,92,17,37,6,6,16,23
"Pver_gene_g564",18,0,33,0,414,176,238,303
"Pver_gene_g14141",39,34,20,20,185,29,59,149
"Pver_gene_g14147",1952,2008,2446,1463,163,14,164,153
"Pver_gene_g14146",3249,3988,4776,2820,1206,120,745,1077
"Pver_novel_gene_362_5de57afd",18,73,44,33,206,61,125,182
"Pver_gene_g18840",228,297,506,353,39,0,49,45
"Pver_gene_g13890",0,18,20,0,669,110,202,486
"Pver_gene_g18843",0,5,0,20,93,76,45,190
"Pver_gene_g18343",12,21,26,0,74,53,54,112
"Pver_gene_g8684",156,247,301,239,991,242,296,1094
"Pver_gene_g8689",0,0,0,0,102,138,103,175
"Pver_gene_g7799",3587,4198,5782,4719,662,42,605,1002
"Pver_gene_g15382",0,28,19,0,389,68,153,283
"Pver_gene_g2291",302,246,372,180,48,0,43,84
"Pver_gene_g15388",164,109,141,90,101,21,83,92
"Pver_gene_g1301",277,260,273,167,159,56,104,79
"Pver_gene_g1302",161,198,179,124,29,0,0,0
"Pver_gene_g1303",37,0,8,12,178,27,52,145
"Pver_gene_g1309",40,13,23,21,411,83,127,223
"Pver_gene_g16816",24,18,20,19,113,28,32,50
"Pver_gene_g6820",0,0,0,0,166,95,116,377
"Pver_gene_g6821",0,0,0,0,250,124,188,501
"Pver_gene_g6826",0,0,0,0,143,25,17,42
"Pver_gene_g6827",0,0,0,0,44,19,24,16
"Pver_gene_g6828",35,63,79,17,344,89,156,296
"Pver_gene_g5555",0,0,0,0,498,186,263,550
"Pver_gene_g17026",50,83,50,33,0,0,0,0
"Pver_novel_gene_664_5de57afd",0,0,0,0,87,11,30,103
"Pver_gene_g2028",51,55,72,51,303,100,165,465
"Pver_gene_g2029",0,0,9,0,133,119,133,201
"Pver_novel_gene_604_5de57afd",0,10,7,0,82,39,42,87
"Pver_gene_g3047",91,130,90,110,575,250,435,879
"Pver_gene_g17800",0,0,0,0,30,65,91,69
"Pver_gene_g13001",0,0,0,0,27,22,20,30
"Pver_gene_g5058",11,38,21,17,70,14,49,69
"Pver_gene_g5059",0,46,39,8,545,201,309,765
"Pver_gene_g5056",170,129,238,103,96,28,68,37
"Pver_gene_g5057",133,180,213,127,88,27,64,185
"Pver_gene_g5053",48,48,65,35,21,10,23,40
"Pver_gene_g13913",0,0,0,0,12,11,32,27
"Pver_gene_g13914",47,44,0,12,162,99,142,147
"Pver_gene_g11519",0,0,0,0,55,12,19,92
"Pver_gene_g11513",0,0,0,0,251,35,159,265
"Pver_gene_g14106",85,126,181,210,1277,287,613,1146
"Pver_gene_g335",2360,2886,2363,1862,179,26,187,260
"Pver_gene_g334",0,12,10,5,206,28,91,130
"Pver_gene_g337",0,7,0,0,267,72,57,177
"Pver_gene_g14022",0,4,0,0,46,31,60,64
"Pver_gene_g3202",0,0,32,0,174,61,124,90
"Pver_gene_g3200",33,42,42,28,219,33,73,149
"Pver_gene_g8527",120,126,259,89,442,104,238,444
"Pver_gene_g22828",0,6,0,0,202,45,87,243
"Pver_gene_g8523",0,0,0,0,39,13,20,26
"Pver_gene_g8522",0,0,0,0,132,118,75,107
"Pver_gene_g6587",87,209,165,78,379,156,270,296
"Pver_gene_g6586",60,86,154,90,3230,1268,1738,5373
"Pver_gene_g6585",0,0,0,0,196,170,291,320
"Pver_gene_g7237",56,72,95,77,189,82,126,239
"Pver_gene_g7235",0,35,27,0,387,62,92,334
"Pver_gene_g7231",175,145,144,73,19,0,23,0
"Pver_gene_g22796",99,67,116,82,166,58,116,209
"Pver_gene_g1177",0,0,20,0,220,68,57,162
"Pver_gene_g9345",39,40,54,95,637,168,313,518
"Pver_gene_g9348",12,20,17,32,99,20,26,61
"Pver_gene_g4521",0,27,19,0,142,37,73,225
"Pver_gene_g26234",14,21,21,15,88,29,76,154
"Pver_gene_g26493",0,0,0,0,102,21,26,57
"Pver_gene_g26491",157,195,165,64,54,28,79,122
"Pver_gene_g5693",0,0,0,15,171,42,109,302
"Pver_gene_g5697",0,0,0,0,18,39,44,27
"Pver_gene_g5694",314,342,461,368,872,183,414,757
"Pver_gene_g18486",6,8,0,18,73,17,24,54
"Pver_gene_g17613",26,34,71,63,225,19,97,165
"Pver_gene_g25852",168,137,225,88,42,10,22,62
"Pver_gene_g25850",0,8,5,0,217,52,166,300
"Pver_gene_g25857",61,0,126,49,4183,995,1886,5066
"Pver_gene_g11758",0,0,0,0,69,52,57,143
"Pver_gene_g11752",177,160,256,171,534,138,388,752
"Pver_gene_g11751",0,0,0,0,75,14,22,23
"Pver_gene_g11757",166,154,215,158,130,47,80,113
"Pver_gene_g11754",0,0,0,0,77,27,89,103
"Pver_gene_g10489",429,711,796,619,447,181,248,556
"Pver_gene_g10480",400,371,418,353,163,78,115,151
"Pver_gene_g10481",115,191,140,100,904,295,686,890
"Pver_gene_g10482",125,84,92,69,21,8,12,11
"Pver_gene_g10483",562,670,584,504,420,131,107,302
"Pver_gene_g11281",220,350,312,287,96,30,56,118
"Pver_gene_g11285",153,126,108,103,0,22,22,11
"Pver_gene_g15503",42,40,19,8,82,24,78,135
"Pver_gene_g15506",0,0,0,0,70,106,32,106
"Pver_gene_g13594",92,44,60,40,18,0,0,14
"Pver_gene_g18369",0,0,21,10,156,25,90,175
"Pver_gene_g10150",0,0,0,0,49,19,41,45
"Pver_gene_g10151",1246,1627,1589,1258,696,76,322,428
"Pver_gene_g14676",155,131,148,125,33,22,56,66
"Pver_novel_gene_589_5de57afd",89,80,136,24,378,130,350,453
"Pver_gene_g12143",107,74,83,46,205,54,99,181
"Pver_gene_g12144",43,37,32,44,84,22,79,98
"Pver_gene_g12148",568,973,956,595,4643,1293,1930,4632
"Pver_gene_g816",0,0,0,21,131,115,461,131
"Pver_gene_g102",0,0,41,0,3533,836,1737,3089
"Pver_gene_g103",249,220,258,197,39,18,62,104
"Pver_gene_g100",49,111,140,66,347,183,320,254
"Pver_gene_g101",54,46,79,40,33,0,9,2
"Pver_gene_g5909",125,181,133,103,26,14,37,20
"Pver_gene_g12572",12,37,43,20,107,33,158,86
"Pver_gene_g12570",0,0,0,0,92,26,54,99
"Pver_gene_g6288",0,0,0,0,59,34,47,132
"Pver_gene_g7887",44,26,41,21,322,427,123,301
"Pver_gene_g7881",71,40,59,32,11,0,18,7
"Pver_gene_g7880",0,0,0,0,53,34,26,71
